id;title
29;Census of Population and Housing, 1990
15;Moby Dick
128;The Arabian Nights Entertainments
101;Hacker Crackdown Law and Disorder on the Electronic Frontier
115;United States Census Figures back to 1630
14;The 1990 CIA World Factbook
28;Aesop's Fables
2babb10;The Bab Ballads
16;Peter Pan Peter Pan and Wendy
103;Around the World in 80 Days
102;The Tragedy of Pudd'nhead Wilson
17;The Book Of Mormon An Account Written By The Hand Of Mormon Upon Plates Taken From The Plates Of Nephi
13;The Hunting of the Snark An Agony in Eight Fits
106;Jungle Tales of Tarzan
112;Violists
113;The Secret Garden
107;Far from the Madding Crowd
12;Through the Looking-Glass
10;The King James Bible
38;The Jargon File, Version 2.9.10, 01 Jul 1992
139;The Lost World
111;Freckles
105;Persuasion
104;Franklin Delano Roosevelt's First Inaugural Address
110;Tess of the d'Urbervilles A Pure Woman
138;George Sand, Some Aspects of Her Life and Writings
39;Hitchhiker's Guide to the Internet
11;Alice's Adventures in Wonderland
201;Flatland: A Romance of Many Dimensions (Illustrated)
215;The Call of the Wild
62;A Princess of Mars
163;Flower Fables
162;Take Me for a Ride Coming of Age in a Destructive Cult
88;Price/Cost Indexes from 1875 to 1989 Estimated to 2010
176;Roderick Hudson
63;The Number "e" Natural log
77;The House of the Seven Gables
228;The Aeneid
214;In the Days When the World Was Wide and Other Verses
200;The Project Gutenberg Gutenberg Encyclopedia, Vol 1
216;Tao Teh King
202;My Bondage and My Freedom
49;Surfing the Internet
61;The Communist Manifesto
75;Email 101
160;The Awakening and Selected Short Stories
174;The Picture of Dorian Gray
148;The Autobiography of Benjamin Franklin
3babb10;More Bab Ballads
149;The Lost Continent
175;The Phantom of the Opera
161;Sense and Sensibility
60;The Scarlet Pimpernel
48;The 1992 CIA World Factbook
217;Sons and Lovers
213;The Man from Snowy River
207;The Spell of the Yukon
64;The Gods of Mars
58;Paradise Regained
159;The Island of Doctor Moreau
165;McTeague
171;Charlotte Temple
170;The Haunted Hotel A Mystery of Modern Venice
164;Twenty Thousand Leagues under the Sea (slightly abridged)
158;Emma
59;A Discourse on Method
71;On the Duty of Civil Disobedience
65;The First 100,000 Prime Numbers
206;The Martin Luther King, Jr. Day, 1995, Memorial Issue
212;A List of Factorial Math Constants
238;Dear Enemy
204;The Innocence of Father Brown
210;An International Episode
73;The Red Badge of Courage An Episode of the American Civil War
67;The Black Experience in America The Immigrant Heritage of America
9;Lincoln's First Inaugural Address, March 4, 1861
172;The Haunted Bookshop
98;A Tale of Two Cities A Story of the French Revolution
166;Summer
99;Collected Articles of Frederick Douglass
167;American Handbook of the Daguerrotype
173;The Insidious Dr. Fu-Manchu
8;Lincoln's Second Inaugural Address, March 4, 1865
66;The Dawn of Amateur Radio in the U.K. and Greece A Personal View
72;Thuvia, Maid of Mars
211;The Aspern Papers
220;The Secret Sharer
234;Child Christopher
208;Daisy Miller
57;Aladdin and the Magic Lamp
5;The United States' Constitution
94;Alexander's Bridge and The Barrel Organ
80;The Online World
81;The Return of Tarzan
95;The Prisoner of Zenda
143;The Mayor of Casterbridge
157;Daddy-Long-Legs
42;Dr. Jekyll and Mr. Hyde
56;NREN for All: Insurmountable Opportunity
4;Unknown title
180;The 1994 CIA World Factbook
209;The Turn of the Screw
235;William Gibson Interviewed
221;The Return of Sherlock Holmes Magazine Edition
223;The Wisdom of Father Brown
68;Warlord of Mars
6;Unknown title
54;The Marvellous Land of Oz
141;Mansfield Park
155;The Moonstone
83;From the Earth to the Moon
169;The Well at the World's End
97;Flatland
168;The History and Practice of the Art of Photography
96;The Monster Men
82;Ivanhoe A Romance
154;The Rise of Silas Lapham
140;The Jungle
7;Unknown title
55;The Wonderful Wizard of Oz
41;The Legend of Sleepy Hollow
69;The 32nd Mersenne Prime
222;The Moon and Sixpence
236;The Jungle Book
232;The Georgics
45;Anne of Green Gables
51;Anne Of The Island
3;Unknown title
79;Terminal Compromise
178;Confidence
92;Tarzan and the Jewels of Opar
144;The Voyage Out
150;Plato's Republic
151;The Rime of the Ancient Mariner
145;Middlemarch
179;The Europeans
87;The 1993 CIA World Factbook
78;Tarzan of the Apes
50;Pi to 1,000,000 places
2;Unknown title
44;Song of the Lark
233;Sister Carrie
219;Heart of Darkness
46;A Christmas Carol A Ghost Story of Christmas
85;The Beasts of Tarzan
153;Jude the Obscure
146;A Little Princess
152;Wild Justice
90;The Son of Tarzan
47;Anne Of Avonlea
1;The Declaration of Independence
53;LOC Workshop on Electronic Texts
230;The Bucolics and Eclogues
224;A Pair of Blue Eyes
243;The Forged Coupon and Other Stories
34;Zen and the Art of the Internet
20;Paradise Lost
121;Northanger Abbey
109;Renascence and Other Poems
108;The Return of Sherlock Holmes
120;Treasure Island
134;Maria The Wrongs of Woman
21;Aesop's Fables
35;The Time Machine
242;My Antonia
240;Stories From the Old Attic
23;The Narrative of the Life of Frederick Douglass An American Slave
37;Census of Population and Housing, 1990 [2nd]
122;Return of the Native
136;A Child's Garden of Verses
137;Sara Crewe
123;At the Earth's Core
36;The War of the Worlds
22;Roget's Thesaurus
241;Clotelle The Colored Heroine
26;Paradise Lost
32;Herland
127;Number "e" (Natural Log) to Approximately 1 Million Places
133;The Damnation of Theron Ware
132;The Art of War
126;The Poison Belt
33;The Scarlet Letter
27;Far from the Madding Crowd
50bab10;Fifty Bab Ballads
31;The Oedipus Trilogy
25;The 1991 CIA World Factbook
19;The Song Of Hiawatha
118;Big Dummy's Guide to the Internet
130;Orthodoxy
124;Deuterocanonical Books of the Bible Apocrypha
125;A Girl Of The Limberlost
131;The Pilgrim's Progress From this world to that which is to come.
18;The Federalist Papers
24;O Pioneers!
30;The Bible, King James Version, Complete
